condition_id,temperature,reasoning_effort,n_trials,functional_successes,better_than_baseline_successes,functional_mean,functional_wilson_95_low,functional_wilson_95_high,beat_baseline_mean,beat_baseline_wilson_95_low,beat_baseline_wilson_95_high,mean_llm_wait_seconds,failure_mode_counts
effort_none,1.0,none,50,32,32,0.64,0.5014076201030195,0.7586143703281711,0.64,0.5014076201030195,0.7586143703281711,41.1104,"{""simulation_error"": 11, ""simulation_timeout"": 7, ""success"": 32}"
effort_low,1.0,low,50,36,35,0.72,0.5833461285401034,0.8252598564231963,0.7,0.562493877226366,0.8089661091039063,47.1096,"{""simulation_error"": 9, ""simulation_timeout"": 5, ""success"": 36}"
effort_medium,1.0,medium,50,35,32,0.7,0.562493877226366,0.8089661091039063,0.64,0.5014076201030195,0.7586143703281711,91.9526,"{""simulation_error"": 6, ""simulation_timeout"": 9, ""success"": 35}"
effort_high,1.0,high,50,37,37,0.74,0.6044657801100008,0.8412862034863262,0.74,0.6044657801100008,0.8412862034863262,147.6274,"{""simulation_error"": 7, ""simulation_timeout"": 6, ""success"": 37}"
